City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
52,Laguna,US,63.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
53,Mar Del Plata,AR,56.08,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
54,Hobart,AU,56.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
57,Cape Town,ZA,58.08,moderate rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
58,Bredasdorp,ZA,58.28,light rain,-34.5322,20.0403,Bredasdorp Country Manor
59,New Norfolk,AU,55.65,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
61,Sao Francisco Do Sul,BR,64.15,clear sky,-26.2433,-48.6381,Hotel Kontiki
63,Puerto Ayora,EC,69.89,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
66,Torbay,CA,52.57,overcast clouds,47.6666,-52.7314,Gallows Cove
67,Balkanabat,TM,55.2,clear sky,39.5108,54.3671,Nebitchi Hotel
68,Mantua,IT,57.81,clear sky,45.1667,10.7833,Hotel la Favorita
70,Hami,CN,54.25,few clouds,42.8,93.45,Laoyutang Resort
71,Vestmanna,FO,43.72,overcast clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
72,Kjollefjord,NO,33.19,light snow,70.9457,27.3465,Hotel Nordkyn
73,Marietta,US,60.87,clear sky,33.9526,-84.5499,Hilton Atlanta/Marietta Hotel & Conference Center
74,Hermanus,ZA,58.8,moderate rain,-34.4187,19.2345,Misty Waves Boutique Hotel
81,Shingu,JP,64.85,clear sky,33.7333,135.9833,Shingu UI Hotel
82,Balakhta,RU,37.17,scattered clouds,55.38,91.6,Bereg
85,Guerrero Negro,MX,66.99,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
86,Narsaq,GL,37.62,light rain,60.9167,-46.05,Narsaq Kayak Hostel
87,Nanortalik,GL,38.77,light rain,60.1432,-45.2371,Hotel Kap Farvel
90,Thompson,CA,31.06,overcast clouds,55.7435,-97.8558,Burntwood Hotel
91,Goderich,CA,41.92,overcast clouds,43.7501,-81.7165,Harmony Inn
92,Alzamay,RU,38.37,overcast clouds,55.5562,98.6644,Pallada
95,Markova,UA,47.71,broken clouds,48.6758,24.4138,Vas.VOM
97,Nandi Hills,KE,53.71,scattered clouds,0.1066,35.1838,Karoit Lake Victoria View Resort
98,Enshi,CN,58.84,broken clouds,30.3,109.4833,Moevenpick Enshi
99,Kapuvar,HU,48.92,broken clouds,47.5922,17.0289,Báró Berg Apartman
100,Hofn,IS,46.98,overcast clouds,64.2539,-15.2082,Hótel Höfn
101,Villa Maria,AR,59.83,broken clouds,-32.4075,-63.2402,Hotel Milenium
103,Jamestown,US,47.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
105,Ancud,CL,47.43,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
106,San Francisco,US,60.48,overcast clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
107,Port Elizabeth,ZA,65.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
108,Kruisfontein,ZA,62.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
110,Dothan,US,67.17,clear sky,31.2232,-85.3905,Courtyard by Marriott Dothan
111,Bluff,NZ,56.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
