City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Itoman,JP,2021-10-21 19:18:34,26.1247,127.6694,73.42,83,75,12.66
124,Airai,TL,2021-10-21 19:19:40,-8.9266,125.4092,64.33,61,73,2.15
125,Bathsheba,BB,2021-10-21 19:19:41,13.2167,-59.5167,86.61,70,40,25.32
126,Krasnomayskiy,RU,2021-10-21 19:19:41,57.6194,34.4099,51.66,88,100,13.87
127,Butaritari,KI,2021-10-21 19:19:41,3.0707,172.7902,82.31,76,32,17.38
128,Buchanan,LR,2021-10-21 19:19:41,5.8808,-10.0467,78.76,88,100,7.92
129,Clyde River,CA,2021-10-21 19:14:44,70.4692,-68.5914,21.56,84,99,3.31
130,Saint George,US,2021-10-21 19:19:41,37.1041,-113.5841,79.27,28,1,3.0
131,Autazes,BR,2021-10-21 19:19:41,-3.5797,-59.1306,88.0,58,100,2.91
132,Otatitlan,MX,2021-10-21 19:19:41,18.2,-96.0333,75.43,92,100,7.92
133,Yilan,TW,2021-10-21 19:19:42,24.757,121.753,71.82,95,100,4.83
134,Kununurra,AU,2021-10-21 19:19:42,-15.7667,128.7333,82.38,89,42,4.61
135,Talara,PE,2021-10-21 19:19:42,-4.5772,-81.2719,77.76,57,0,16.11
136,Hithadhoo,MV,2021-10-21 19:19:42,-0.6,73.0833,80.65,78,100,8.97
137,Souillac,MU,2021-10-21 19:19:42,-20.5167,57.5167,74.35,83,75,6.91
138,Chernyakhovsk,RU,2021-10-21 19:19:43,54.6335,21.8156,51.89,73,99,21.63
139,Maryville,US,2021-10-21 19:19:43,35.7565,-83.9705,72.61,88,90,1.01
140,Florida,US,2021-10-21 19:19:43,28.7505,-82.5001,88.0,54,75,1.01
141,Eganville,CA,2021-10-21 19:19:43,45.5334,-77.0994,50.52,82,100,7.54
142,Galway,IE,2021-10-21 19:15:04,53.2719,-9.0489,48.15,66,43,12.12
143,Bubaque,GW,2021-10-21 19:19:44,11.2833,-15.8333,83.01,74,100,9.44
144,Port Hardy,CA,2021-10-21 19:19:44,50.6996,-127.4199,53.6,93,90,19.57
145,Semibratovo,RU,2021-10-21 19:19:44,57.3046,39.5369,53.46,91,100,13.58
146,Tessalit,ML,2021-10-21 19:19:44,20.1986,1.0114,85.1,17,0,7.63
147,Buraydah,SA,2021-10-21 19:19:44,26.326,43.975,79.25,33,0,12.12
148,Kieta,PG,2021-10-21 19:19:45,-6.2167,155.6333,77.83,84,50,2.8
149,Half Moon Bay,US,2021-10-21 19:19:45,37.4636,-122.4286,76.05,84,75,13.8
150,Yar-Sale,RU,2021-10-21 19:19:46,66.8333,70.8333,28.58,92,100,5.17
151,Tuatapere,NZ,2021-10-21 19:19:46,-46.1333,167.6833,42.08,84,5,3.47
152,Bambous Virieux,MU,2021-10-21 19:19:46,-20.3428,57.7575,74.21,83,75,6.91
153,Chokurdakh,RU,2021-10-21 19:19:46,70.6333,147.9167,-14.03,95,99,4.14
154,Repnoye,RU,2021-10-21 19:19:46,51.5921,43.1861,53.85,63,100,19.01
155,Bintulu,MY,2021-10-21 19:19:46,3.1667,113.0333,73.81,94,40,8.05
156,Yasnogorsk,RU,2021-10-21 19:19:47,54.4803,37.6975,51.15,75,100,19.73
157,Werda,BW,2021-10-21 19:19:47,-25.2667,23.2833,67.48,63,100,15.21
158,Carnarvon,AU,2021-10-21 19:19:47,-24.8667,113.6333,64.47,77,40,14.97
159,Sao Paulo De Olivenca,BR,2021-10-21 19:19:47,-3.3783,-68.8725,83.14,67,96,0.58
160,Mahibadhoo,MV,2021-10-21 19:19:47,3.7833,72.9667,82.4,69,12,9.26
161,Cabo San Lucas,MX,2021-10-21 19:19:48,22.8909,-109.9124,89.62,70,40,5.01
162,Praia Da Vitoria,PT,2021-10-21 19:19:48,38.7333,-27.0667,70.75,83,20,6.06
163,Sembe,CG,2021-10-21 19:19:48,1.6481,14.5806,70.79,96,97,1.19
164,Hofn,IS,2021-10-21 19:19:48,64.2539,-15.2082,34.63,63,0,16.11
165,Cherskiy,RU,2021-10-21 19:19:48,68.75,161.3,5.2,97,100,5.23
